Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset..s.,deployment_ID,Location,Site,config,datetime_UTC,datetime_local,latitude,longitude
31172,Spectrogram 1,1,392514,392517,0,15000,Ridgway's Rail,ridrai1,0.6181,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_194200.WAV,12,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T19:42:00Z,2025-05-20T19:42:00Z,32.6396792,-117.1111495
31174,Spectrogram 1,1,392520,392523,0,15000,Ridgway's Rail,ridrai1,0.3512,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_194200.WAV,18,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T19:42:00Z,2025-05-20T19:42:00Z,32.6396792,-117.1111495
31176,Spectrogram 1,1,392526,392529,0,15000,Ridgway's Rail,ridrai1,0.8399,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_194200.WAV,24,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T19:42:00Z,2025-05-20T19:42:00Z,32.6396792,-117.1111495
31408,Spectrogram 1,1,393770,393773,0,15000,Ridgway's Rail,ridrai1,0.2874,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_200500.WAV,3,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T20:05:00Z,2025-05-20T20:05:00Z,32.6396792,-117.1111495
31412,Spectrogram 1,1,393794,393797,0,15000,Ridgway's Rail,ridrai1,0.3961,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_200500.WAV,27,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T20:05:00Z,2025-05-20T20:05:00Z,32.6396792,-117.1111495
31964,Spectrogram 1,1,396810,396813,0,15000,Ridgway's Rail,ridrai1,0.6562,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_210000.WAV,18,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T21:00:00Z,2025-05-20T21:00:00Z,32.6396792,-117.1111495
32372,Spectrogram 1,1,399557,399560,0,15000,Ridgway's Rail,ridrai1,0.7506,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_215000.WAV,15,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T21:50:00Z,2025-05-20T21:50:00Z,32.6396792,-117.1111495
32686,Spectrogram 1,1,403599,403602,0,15000,Ridgway's Rail,ridrai1,0.9631,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_230300.WAV,42,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:03:00Z,2025-05-20T23:03:00Z,32.6396792,-117.1111495
32688,Spectrogram 1,1,403605,403608,0,15000,Ridgway's Rail,ridrai1,0.4508,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_230300.WAV,48,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:03:00Z,2025-05-20T23:03:00Z,32.6396792,-117.1111495
32702,Spectrogram 1,1,403691,403694,0,15000,Ridgway's Rail,ridrai1,0.253,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_230500.WAV,24,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:05:00Z,2025-05-20T23:05:00Z,32.6396792,-117.1111495
32720,Spectrogram 1,1,403957,403960,0,15000,Ridgway's Rail,ridrai1,0.3388,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_231000.WAV,15,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:10:00Z,2025-05-20T23:10:00Z,32.6396792,-117.1111495
32722,Spectrogram 1,1,403969,403972,0,15000,Ridgway's Rail,ridrai1,0.8791,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_231000.WAV,27,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:10:00Z,2025-05-20T23:10:00Z,32.6396792,-117.1111495
32724,Spectrogram 1,1,403975,403978,0,15000,Ridgway's Rail,ridrai1,0.9118,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_231000.WAV,33,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:10:00Z,2025-05-20T23:10:00Z,32.6396792,-117.1111495
32726,Spectrogram 1,1,403981,403984,0,15000,Ridgway's Rail,ridrai1,0.4846,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_231000.WAV,39,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:10:00Z,2025-05-20T23:10:00Z,32.6396792,-117.1111495
32728,Spectrogram 1,1,403987,403990,0,15000,Ridgway's Rail,ridrai1,0.9682,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_231000.WAV,45,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:10:00Z,2025-05-20T23:10:00Z,32.6396792,-117.1111495
32730,Spectrogram 1,1,403993,403996,0,15000,Ridgway's Rail,ridrai1,0.6427,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_231000.WAV,51,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:10:00Z,2025-05-20T23:10:00Z,32.6396792,-117.1111495
32804,Spectrogram 1,1,405173,405176,0,15000,Ridgway's Rail,ridrai1,0.2721,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233200.WAV,21,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:32:00Z,2025-05-20T23:32:00Z,32.6396792,-117.1111495
32814,Spectrogram 1,1,405252,405255,0,15000,Ridgway's Rail,ridrai1,0.3211,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233300.WAV,45,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:33:00Z,2025-05-20T23:33:00Z,32.6396792,-117.1111495
32818,Spectrogram 1,1,405274,405277,0,15000,Ridgway's Rail,ridrai1,0.3427,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233400.WAV,12,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:34:00Z,2025-05-20T23:34:00Z,32.6396792,-117.1111495
32820,Spectrogram 1,1,405292,405295,0,15000,Ridgway's Rail,ridrai1,0.8049,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250520_233400.WAV,30,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-20T23:34:00Z,2025-05-20T23:34:00Z,32.6396792,-117.1111495
