filename,caption
Light-Footed-Ridgway-Rail_TRNERR_20250523_015700.mp4,Light-footed Ridgway's Rail sounds recorded at Tijuana Estuary in May 2025 by Shannon Rankin using an Audiomoth recorder.
species_site_yyyymmdd.mp4,This is only a test.
